# id	left	top	right	bottom	texture_id
[SPRITES]
#---------------------------PINK---------------------------------
700011	0	119	15	134	22
700012	17	119	32	134	22
700013	34	119	49	134	22

700014	0	136	15	151	22
700015	17	136	32	151	22
700016	34	136	49	151	22

700017	0	153	15	168	22
700018	17	153	32	168	22
700019	34	153	49	168	22

#-----------------------------BLUE----------------------------
700021	51	119	66	134	22
700022	68	119	83	134	22
700023	85	119	100	134	22

700024	51	136	66	151	22
700025	68	136	83	151	22
700026	85	136	100	151	22

700027	51	153	66	168	22
700028	68	153	83	168	22
700029	85	153	100	168	22

#--------------------------GREEN-----------------------------
700031	102	119	117	134	22
700032	119	119	134	134	22
700033	136	119	151	134	22

700034	102	136	117	151	22
700035	119	136	134	151	22
700036	136	136	151	151	22

700037	102	153	117	168	22
700038	119	153	134	168	22
700039	136	153	151	168	22

#---------------------------WHITE------------------------------
700041	153	119	168	134	22
700042	170	119	185	134	22
700043	187	119	202	134	22

700044	153	136	168	151	22
700045	170	136	185	151	22
700046	187	136	202	151	22

700047	153	153	168	168	22
700048	170	153	185	168	22
700049	187	153	202	168	22

#-------------------SHASOW----------------
700051	221	102	236	117	22
700052	221	119	236	134	22

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
