# id	left	top	right	bottom	texture_id
[SPRITES]
# Red koomba
31301	68	17	83	48	10
31302	51	17	66	48	10

31303	34	101	49	132	10
31304	51	101	66	132	10

31305	85	17	100	32	10
31306	85	34	100	49	10

31307	51	51	66	66	10
31308	68	51	83	66	10
31309	85	51	100	66	10

31310	119	68	134	99	10
31311	102	68	117	99	10

31312	68	68	83	99	10
31313	85	68	100	99	10

# Green koomba
31321	17	17	32	48	10
31322	0	17	15	48	10

31323	0	101	15	132	10
31324	17	101	32	132	10

31325	34	17	49	32	10
31326	34	34	49	49	10

31327	0	51	15	66	10
31328	17	51	32	66	10
31329	34	51	49	66	10

31330	51	68	66	99	10
31331	34	68	49	99	10

31332	0	68	15	99	10
31333	17	68	32	99	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#31352	31321	200	31322	200	31321	200	31322	200	31323	200	31324	200	31323	200	31324	200
#31351	31325	3000	31326	50	31325	50	31326	50	31325	50	31326	50	31325	50	31326	50	31325	50	31326	50
#31353	31327	50	31328	50	31329	50
31350	31330	200	31331	200	31330	200	31331	200	31332	200	31333	200	31332	200	31333	200

